,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,task,revise_score,full_credit,half_credit,time,diversity_bin,task_numeric
53,0.4398648648648648,0.2199762187871581,0.8453911542892456,116,2.640973630831643,0.5777027027027027,0.0086206896551724,3,1,0,candidate,1.75,0,1,1644,1,2
54,0.3883161512027491,0.2125639152666179,0.1192469298839569,37,2.8974358974358974,0.6254295532646048,0.027027027027027,3,0,1,Professor,0.0,0,0,698,1,0
55,0.3695652173913043,0.164090368608799,0.3624112010002136,58,2.8732394366197185,0.5996376811594203,0.0172413793103448,3,0,1,candidate,0.0,0,0,637,1,2
56,0.6904761904761905,0.2592592592592592,0.708018958568573,18,3.0526315789473686,0.8333333333333334,0.0555555555555555,2,0,1,candidate,0.0,0,0,504,0,2
57,0.6157450796626054,0.2688334593096498,0.9831072688102722,63,2.7721518987341773,0.8153701968134958,0.0158730158730158,3,0,0,PartyVenue,0.0,0,0,912,1,1
58,0.6283185840707964,0.220703125,0.6909415125846863,32,2.897959183673469,0.8008849557522124,0.03125,1,0,0,Professor,0.0,0,0,567,0,0
59,0.8319327731092437,0.2698412698412698,1.4139944314956665,21,3.6666666666666665,0.9243697478991596,0.0476190476190476,3,0,1,candidate,0.0,0,0,731,1,2
60,0.3988439306358382,0.1922222222222222,0.4714966118335724,60,2.732673267326733,0.5578034682080925,0.0166666666666666,3,0,1,PartyVenue,0.0,0,0,350,1,1
61,0.4079601990049751,0.1744791666666666,0.6683306097984314,48,3.0943396226415096,0.6144278606965174,0.0208333333333333,1,0,1,candidate,0.0,0,0,894,0,2
62,0.5900621118012422,0.2208504801097393,1.1519640684127808,27,3.5185185185185186,0.5962732919254659,0.037037037037037,2,0,0,candidate,0.0,0,0,487,0,2
63,0.5033152501506932,0.2296193771626297,0.8884149193763733,85,2.7022653721682848,0.6377335744424352,0.0117647058823529,3,0,1,PartyVenue,0.0,0,0,610,1,1
64,0.4723926380368098,0.2608,1.096463680267334,25,3.6666666666666665,0.6441717791411042,0.04,2,0,1,PartyVenue,0.0,0,0,481,0,1
65,0.49375,0.1814058956916099,0.6683306097984314,42,2.981132075471698,0.6,0.0238095238095238,2,0,1,candidate,0.0,0,0,715,0,2
66,0.3765432098765432,0.1673553719008264,0.5385898351669312,44,3.2972972972972974,0.5339506172839507,0.0227272727272727,3,0,1,PartyVenue,0.0,0,0,920,1,1
67,0.5421303656597775,0.2079338842975206,1.2525858879089355,55,3.376237623762376,0.6581875993640699,0.0181818181818181,1,0,1,candidate,0.0,0,0,790,0,2
