mellon_id,initial,revise,session_id,task,ini_score,revise_score,score_change
193517,BAC,BAC,7363_apartment,apartment,1,0,-1
185698,ABC,ABC,7364_apartment,apartment,0,1,1
201745,BAC,ABC,7364_apartment,apartment,1,1,0
194921,ABC,ABC,7364_apartment,apartment,0,1,1
200051,ABC,ABC,7364_apartment,apartment,0,1,1
196148,BAC,BAC,7365_apartment,apartment,1,0,-1
176100,BAC,BAC,7365_apartment,apartment,1,0,-1
163842,BAC,BAC,7365_apartment,apartment,1,0,-1
190482,BCA,BAC,7365_apartment,apartment,2,0,-2
195075,BAC,BAC,7367_apartment,apartment,1,0,-1
183820,BCA,BAC,7367_apartment,apartment,2,0,-2
170614,BAC,BAC,7367_apartment,apartment,1,0,-1
163312,ABC,BAC,7367_apartment,apartment,0,0,0
181900,BAC,ABC,7370_apartment,apartment,1,1,0
194656,ABC,ABC,7370_apartment,apartment,0,1,1
181041,ABC,ABC,7370_apartment,apartment,0,1,1
178642,BAC,ABC,7370_apartment,apartment,1,1,0
198167,ABC,ABC,7371_apartment,apartment,0,1,1
202152,BAC,ABC,7371_apartment,apartment,1,1,0
191605,ABC,ABC,7371_apartment,apartment,0,1,1
192329,BAC,ABC,7371_apartment,apartment,1,1,0
167156,ABC,ABC,7372_apartment,apartment,0,1,1
190133,BAC,ABC,7372_apartment,apartment,1,1,0
167333,ABC,ABC,7372_apartment,apartment,0,1,1
168215,BAC,ABC,7372_apartment,apartment,1,1,0
165974,ABC,BAC,7373_apartment,apartment,0,0,0
166149,BAC,BAC,7373_apartment,apartment,1,0,-1
166141,BAC,BAC,7373_apartment,apartment,1,0,-1
185120,BCA,BAC,7373_apartment,apartment,2,0,-2
196335,ABC,ABC,7374_apartment,apartment,0,1,1
170172,BAC,ABC,7374_apartment,apartment,1,1,0
192121,BAC,ABC,7374_apartment,apartment,1,1,0
177408,ABC,ABC,7374_apartment,apartment,0,1,1
201285,ABC,BAC,7375_apartment,apartment,0,0,0
170620,BAC,BAC,7375_apartment,apartment,1,0,-1
164814,BAC,BAC,7375_apartment,apartment,1,0,-1
174059,BAC,BAC,7375_apartment,apartment,1,0,-1
C@ss3tte,ABC,ABC,7376_apartment,apartment,0,1,1
179016,BAC,BAC,7376_apartment,apartment,1,0,-1
191341,BAC,BAC,7376_apartment,apartment,1,0,-1
194334,BAC,BAC,7376_apartment,apartment,1,0,-1
201648,CBA,BAC,7377_apartment,apartment,0,0,0
165634,BAC,BAC,7377_apartment,apartment,1,0,-1
166063,BAC,BAC,7377_apartment,apartment,1,0,-1
180976,BCA,BAC,7377_apartment,apartment,2,0,-2
181207,ABC,ABC,7378_apartment,apartment,0,1,1
166151,ABC,ABC,7378_apartment,apartment,0,1,1
169077,BAC,ABC,7378_apartment,apartment,1,1,0
170115,BAC,ABC,7378_apartment,apartment,1,1,0
183556,BAC,ACB,7380_apartment,apartment,1,2,1
174115,BAC,ACB,7380_apartment,apartment,1,2,1
195499,BAC,ACB,7380_apartment,apartment,1,2,1
192482,BAC,ACB,7380_apartment,apartment,1,2,1
166943,BCA,BCA,7320_Professor,Professor,2,0,-2
182927,BAC,BCA,7320_Professor,Professor,1,0,-1
168426,BCA,BCA,7320_Professor,Professor,2,0,-2
174245,CAB,BCA,7320_Professor,Professor,0,0,0
170689,BCA,CAB,7322_Professor,Professor,2,0,-2
184940,BCA,CAB,7322_Professor,Professor,2,0,-2
201001,CAB,CAB,7322_Professor,Professor,0,0,0
165301,CBA,CAB,7322_Professor,Professor,0,0,0
190566,ABC,ACB,7348_PartyVenue,PartyVenue,0,2,2
201352,BAC,ACB,7348_PartyVenue,PartyVenue,1,2,1
185680,ABC,ACB,7348_PartyVenue,PartyVenue,0,2,2
194531,CBA,ACB,7348_PartyVenue,PartyVenue,0,2,2
166874,BCA,CBA,7353_PartyVenue,PartyVenue,2,0,-2
184968,BAC,CBA,7353_PartyVenue,PartyVenue,1,0,-1
166265,ABC,CBA,7353_PartyVenue,PartyVenue,0,0,0
189740,BAC,CBA,7353_PartyVenue,PartyVenue,1,0,-1
194795,ACB,ACB,7354_PartyVenue,PartyVenue,0,2,2
175615,BAC,ACB,7354_PartyVenue,PartyVenue,1,2,1
190028,ABC,ABC,7354_PartyVenue,PartyVenue,0,1,1
165026,ACB,ACB,7354_PartyVenue,PartyVenue,0,2,2
165971,CAB,CBA,7354_candidate,candidate,0,0,0
174719,BCA,CBA,7354_candidate,candidate,2,0,-2
183071,CBA,BCA,7354_candidate,candidate,0,0,0
185090,BCA,CBA,7354_candidate,candidate,2,0,-2
172147,CAB,ACB,7355_PartyVenue,PartyVenue,0,2,2
169968,ACB,ACB,7355_PartyVenue,PartyVenue,0,2,2
188206,ACB,ACB,7355_PartyVenue,PartyVenue,0,2,2
179788,BAC,ACB,7355_PartyVenue,PartyVenue,1,2,1
187563,BAC,BAC,7356_PartyVenue,PartyVenue,1,0,-1
199314,ACB,ACB,7356_PartyVenue,PartyVenue,0,2,2
165396,CBA,ACB,7356_PartyVenue,PartyVenue,0,2,2
163983,BAC,ACB,7356_PartyVenue,PartyVenue,1,2,1
198007,CAB,CBA,7356_candidate,candidate,0,0,0
197446,CBA,CBA,7356_candidate,candidate,0,0,0
185836,BCA,CBA,7356_candidate,candidate,2,0,-2
170246,BCA,BCA,7356_candidate,candidate,2,0,-2
189059,BAC,BAC,7357_PartyVenue,PartyVenue,1,0,-1
164175,ACB,ACB,7357_PartyVenue,PartyVenue,0,2,2
197425,CAB,BAC,7357_PartyVenue,PartyVenue,0,0,0
203013,BAC,BAC,7357_PartyVenue,PartyVenue,1,0,-1
179684,BCA,BCA,7358_candidate,candidate,2,0,-2
170691,BAC,BCA,7358_candidate,candidate,1,0,-1
202169,BCA,BCA,7358_candidate,candidate,2,0,-2
172762,BCA,BCA,7358_candidate,candidate,2,0,-2
192842,ACB,ACB,7363_PartyVenue,PartyVenue,0,2,2
170384,BCA,ACB,7363_PartyVenue,PartyVenue,2,2,0
197967,ABC,ACB,7363_PartyVenue,PartyVenue,0,2,2
171138,ACB,ACB,7363_PartyVenue,PartyVenue,0,2,2
203404,BCA,BCA,7366_candidate,candidate,2,0,-2
198251,BCA,BCA,7366_candidate,candidate,2,0,-2
191802,BCA,BCA,7366_candidate,candidate,2,0,-2
166085,BCA,BCA,7366_candidate,candidate,2,0,-2
165170,BAC,CBA,7367_candidate,candidate,1,0,-1
183614,CBA,CBA,7367_candidate,candidate,0,0,0
186557,CBA,CBA,7367_candidate,candidate,0,0,0
190696,BCA,CBA,7367_candidate,candidate,2,0,-2
177505,BAC,BCA,7369_candidate,candidate,1,0,-1
188928,CBA,BCA,7369_candidate,candidate,0,0,0
194304,BCA,BCA,7369_candidate,candidate,2,0,-2
wendy6,CAB,BCA,7369_candidate,candidate,0,0,0
163721,BAC,BCA,7370_candidate,candidate,1,0,-1
189885,BCA,BCA,7370_candidate,candidate,2,0,-2
178949,BAC,BCA,7370_candidate,candidate,1,0,-1
190690,BCA,BCA,7370_candidate,candidate,2,0,-2
Isabella,BCA,BCA,7371_candidate,candidate,2,0,-2
195466,CBA,BCA,7371_candidate,candidate,0,0,0
187876,BCA,BCA,7371_candidate,candidate,2,0,-2
180275,BCA,BCA,7371_candidate,candidate,2,0,-2
171680,BCA,ACB,7372_candidate,candidate,2,2,0
174849,BCA,CAB,7372_candidate,candidate,2,0,-2
180376,BCA,CAB,7372_candidate,candidate,2,0,-2
172140,CAB,ACB,7372_candidate,candidate,0,2,2
167358,BCA,CAB,7373_candidate,candidate,2,0,-2
202060,CBA,CBA,7373_candidate,candidate,0,0,0
169460,BCA,CAB,7373_candidate,candidate,2,0,-2
zotzot,BCA,ABC,7373_candidate,candidate,2,1,-1
177748,BAC,BCA,7375_candidate,candidate,1,0,-1
191626,BCA,BCA,7375_candidate,candidate,2,0,-2
167731,BCA,BCA,7375_candidate,candidate,2,0,-2
180841,CBA,BCA,7375_candidate,candidate,0,0,0
200321,CAB,ABC,7388_apartment,apartment,0,1,1
170756,BAC,ABC,7388_apartment,apartment,1,1,0
199666,BAC,ABC,7388_apartment,apartment,1,1,0
167626,BAC,ABC,7388_apartment,apartment,1,1,0
