,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,no_messages,diversity,diversity_bin,time,high_performance,female_majority,revise_score,full_credit,half_credit,task,task_numeric
33,0.6803874092009685,0.32470414201183434,1.0571562051773071,6,2.6261682242990654,0.8451025056947609,0.16666666666666666,52,3,1,667,0,0,0.5,0,0,Professor,0
34,0.56,0.2743764172335601,0.4293230175971985,3,2.1538461538461537,0.7768595041322314,0.3333333333333333,21,2,0,304,0,1,0.0,0,0,PartyVenue,1
35,0.5479002624671916,0.27556991877019826,1.0621113777160645,7,2.6175548589341693,0.6992076069730586,0.14285714285714285,107,3,1,1267,0,0,0.0,0,0,Professor,0
36,0.4631578947368421,0.20132325141776938,0.8770020604133606,5,2.4444444444444446,0.676056338028169,0.2,46,3,1,595,0,1,0.0,0,0,PartyVenue,1
37,0.5882352941176471,0.1953125,0.6931471824645996,3,2.5,0.76,0.3333333333333333,16,2,0,528,0,1,0.0,0,0,Professor,0
38,0.4180790960451977,0.23497917906008328,1.4218957424163818,8,3.217391304347826,0.5924050632911393,0.125,41,3,1,1313,0,0,0.0,0,0,candidate,2
39,0.36597938144329895,0.23309897241752298,0.8311541080474854,6,2.4482758620689653,0.5034802784222738,0.16666666666666666,43,3,1,526,0,0,0.0,0,0,PartyVenue,1
40,0.5384615384615384,0.3140495867768595,0.8760057687759399,4,2.5,0.7236842105263158,0.25,22,3,1,781,1,0,1.0,0,1,Professor,0
41,0.4780701754385965,0.23828125,1.178401231765747,6,2.7948717948717947,0.6260245901639344,0.16666666666666666,64,2,0,1049,0,0,0.0,0,0,candidate,2
42,0.6753069577080492,0.3354016620498615,1.9222068786621094,18,4.304347826086956,0.8014535844070036,0.05555555555555555,95,2,0,1193,1,1,1.75,0,1,PartyVenue,1
43,0.4925373134328358,0.23251417769376181,0.7135798335075378,6,2.321608040201005,0.5985772357723578,0.16666666666666666,92,3,1,1875,1,1,1.0,0,1,Professor,0
44,0.44551282051282054,0.19,1.1683273315429688,9,2.836734693877551,0.6666666666666666,0.1111111111111111,60,2,0,827,0,0,0.0,0,0,candidate,2
45,0.5574712643678161,0.31265306122448977,0.8355929851531982,7,2.4871794871794872,0.7180156657963447,0.14285714285714285,35,2,0,529,0,1,0.0,0,0,PartyVenue,1
46,0.5479573712255773,0.2547743055555556,0.9361343383789062,7,2.4879032258064515,0.7363713798977853,0.14285714285714285,96,2,0,737,0,1,0.0,0,0,Professor,0
47,0.4418604651162791,0.21123829344432882,0.9532710313796997,5,2.533333333333333,0.6945812807881774,0.2,31,2,0,659,0,1,0.0,0,0,PartyVenue,1
48,0.457977207977208,0.2546073892916412,0.8122205138206482,6,2.3814814814814813,0.6404802744425386,0.16666666666666666,107,3,1,1439,1,0,1.0,0,1,Professor,0
