,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,revise_score,full_credit,half_credit
38,0.47848101265822784,0.23497917906008328,1.4946093559265137,41,4.0212765957446805,0.5924050632911393,0.024390243902439025,3,0,0,0.0,0,0
39,0.42923433874709976,0.23309897241752298,0.902982234954834,43,3.135593220338983,0.5034802784222738,0.023255813953488372,3,0,0,0.0,0,0
40,0.6052631578947368,0.3140495867768595,0.9957935810089111,22,3.1724137931034484,0.7236842105263158,0.045454545454545456,3,1,0,1.0,0,1
41,0.5122950819672131,0.23828125,1.2094498872756958,64,3.1847133757961785,0.6260245901639344,0.015625,2,0,0,0.0,0,0
42,0.6854971919392138,0.3354016620498615,1.9335087537765503,95,4.5010845986984815,0.8014535844070036,0.010526315789473684,2,1,1,1.75,0,1
43,0.516260162601626,0.23251417769376181,0.7293044328689575,92,2.5463659147869673,0.5985772357723578,0.010869565217391304,3,1,1,1.0,0,1
44,0.49415204678362573,0.19,1.2129911184310913,60,3.414141414141414,0.6666666666666666,0.016666666666666666,2,0,0,0.0,0,0
45,0.597911227154047,0.31265306122448977,0.892903208732605,35,2.8987341772151898,0.7180156657963447,0.02857142857142857,2,0,1,0.0,0,0
46,0.5664395229982965,0.2547743055555556,0.948752760887146,96,2.676056338028169,0.7363713798977853,0.010416666666666666,2,0,1,0.0,0,0
47,0.5270935960591133,0.21123829344432882,1.0650261640548706,31,3.4516129032258065,0.6945812807881774,0.03225806451612903,2,0,1,0.0,0,0
48,0.47787307032590054,0.2546073892916412,0.824198842048645,107,2.574861367837338,0.6404802744425386,0.009345794392523364,3,1,0,1.0,0,1
49,0.48936170212765956,0.20399305555555555,0.7108156681060791,48,2.8395061728395063,0.5765957446808511,0.020833333333333332,3,0,1,0.0,0,0
50,0.550561797752809,0.19777777777777777,1.794917106628418,30,5.157894736842105,0.651685393258427,0.03333333333333333,2,0,1,0.5,0,0
51,0.5343065693430656,0.24385902456390174,1.337684988975525,106,3.706329113924051,0.6638686131386862,0.009433962264150943,4,0,0,0.0,0,0
52,0.5415821501014199,0.29327781082688875,0.8611717820167542,41,2.8105263157894735,0.6612576064908722,0.024390243902439025,3,1,1,1.5,0,1
53,0.43986486486486487,0.21997621878715815,0.8453911542892456,116,2.640973630831643,0.5777027027027027,0.008620689655172414,3,1,0,1.75,0,1
