,task_x,team_id,mellon_id,Primary code ,revise_score,high_performance
179,apartment,181207_166151_169077_170115,181207,CM,1.0,1
180,apartment,181207_166151_169077_170115,181207,SSI,1.0,1
181,apartment,181207_166151_169077_170115,181207,SMC,1.0,1
182,apartment,181207_166151_169077_170115,169077,SMC,1.0,1
183,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
184,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
185,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
186,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
187,apartment,181207_166151_169077_170115,169077,SESU,1.0,1
188,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
189,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
190,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
191,apartment,181207_166151_169077_170115,169077,CE,1.0,1
192,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
193,apartment,181207_166151_169077_170115,169077,CE,1.0,1
194,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
195,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
196,apartment,181207_166151_169077_170115,169077,SN,1.0,1
197,apartment,181207_166151_169077_170115,169077,SESU,1.0,1
198,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
199,apartment,181207_166151_169077_170115,169077,SSI,1.0,1
200,apartment,181207_166151_169077_170115,169077,CM,1.0,1
201,apartment,181207_166151_169077_170115,169077,SN,1.0,1
202,apartment,181207_166151_169077_170115,169077,CE,1.0,1
203,apartment,181207_166151_169077_170115,166151,SMC,1.0,1
204,apartment,181207_166151_169077_170115,166151,SSI,1.0,1
205,apartment,181207_166151_169077_170115,166151,SESU,1.0,1
206,apartment,181207_166151_169077_170115,166151,SSI,1.0,1
207,apartment,181207_166151_169077_170115,166151,SESU,1.0,1
208,apartment,181207_166151_169077_170115,166151,CRF,1.0,1
209,apartment,181207_166151_169077_170115,166151,SSI,1.0,1
210,apartment,181207_166151_169077_170115,166151,SSI,1.0,1
211,apartment,181207_166151_169077_170115,166151,CE,1.0,1
212,apartment,181207_166151_169077_170115,166151,SSI,1.0,1
213,apartment,181207_166151_169077_170115,166151,SESU,1.0,1
214,apartment,181207_166151_169077_170115,166151,SN,1.0,1
215,apartment,181207_166151_169077_170115,166151,SSI,1.0,1
216,apartment,181900_194656_181041_178642,181900,SMC,1.0,1
217,apartment,181900_194656_181041_178642,181900,CM,1.0,1
218,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
219,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
220,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
221,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
222,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
223,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
224,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
225,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
226,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
227,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
228,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
229,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
230,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
231,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
232,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
233,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
234,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
235,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
236,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
237,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
238,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
239,apartment,181900_194656_181041_178642,181900,CE,1.0,1
240,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
241,apartment,181900_194656_181041_178642,181900,CE,1.0,1
242,apartment,181900_194656_181041_178642,181900,CE,1.0,1
243,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
244,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
245,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
246,apartment,181900_194656_181041_178642,181900,CRF,1.0,1
247,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
248,apartment,181900_194656_181041_178642,181900,SESU,1.0,1
249,apartment,181900_194656_181041_178642,181900,SSI,1.0,1
250,apartment,181900_194656_181041_178642,181900,CM,1.0,1
251,apartment,181900_194656_181041_178642,181900,SN,1.0,1
252,apartment,181900_194656_181041_178642,194656,SMC,1.0,1
253,apartment,181900_194656_181041_178642,194656,SSI,1.0,1
254,apartment,181900_194656_181041_178642,194656,CE,1.0,1
