,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,full_credit,half_credit,revise_score
13,0.5574667709147771,0.39365958756540476,2.002840518951416,57,6.094017094017094,0.7177482408131353,0.017543859649122806,4,0,0,0,0,0.0
14,0.13029576338928858,0.18159384526056033,0.4195559024810791,83,6.037037037037037,0.11430855315747403,0.012048192771084338,4,0,1,0,0,0.0
15,0.17372262773722627,0.22644628099173553,0.6680178046226501,55,5.666666666666667,0.0,0.01818181818181818,2,1,1,1,1,2.0
16,0.20603015075376885,0.23662306777645659,0.5004023909568787,29,8.2,0.24120603015075376,0.034482758620689655,2,0,1,0,0,0.0
17,0.2617924528301887,0.18339100346020762,0.6009198427200317,68,4.530612244897959,0.4893867924528302,0.014705882352941176,4,1,1,1,1,2.0
18,0.18305597579425115,0.23531505873976505,0.832407534122467,53,5.761904761904762,0.09531013615733737,0.018867924528301886,3,0,0,0,0,0.25
19,0.22561576354679802,0.23983931947069942,0.903249979019165,92,4.280373831775701,0.21773399014778325,0.010869565217391304,3,1,1,0,0,0.75
20,0.23699421965317918,0.30511463844797176,0.9309234023094177,63,4.415384615384616,0.38810900082576383,0.015873015873015872,2,1,0,1,1,2.0
21,0.3459715639810427,0.30825420014609206,1.263160228729248,74,4.325925925925926,0.5965639810426541,0.013513513513513514,3,0,0,0,0,0.0
22,0.1937984496124031,0.19111111111111112,0.9829020500183105,90,5.084745762711864,0.39341085271317827,0.011111111111111112,2,0,0,0,0,0.0
23,0.24675324675324675,0.21329639889196675,0.0,19,19.0,0.0,0.05263157894736842,3,0,0,0,0,0.0
24,0.2535211267605634,0.2465277777777778,0.5004023909568787,24,7.2,0.38028169014084506,0.041666666666666664,2,0,1,0,0,0.0
25,0.5142314990512334,0.34648257725180803,0.8829546570777893,39,3.927536231884058,0.8500948766603416,0.02564102564102564,1,1,1,0,1,1.5
26,0.22885572139303484,0.25125,1.0055361986160278,80,4.433734939759036,0.3917910447761194,0.0125,3,1,1,1,1,2.0
27,0.21879936808846762,0.23409763313609466,0.7428931593894958,104,4.043795620437956,0.3815165876777251,0.009615384615384616,3,0,1,0,0,0.0
28,0.20300751879699247,0.2052469135802469,0.4101163148880005,36,7.714285714285714,0.10150375939849623,0.027777777777777776,3,0,0,0,0,0.0
29,0.23995127892813642,0.22063961300725612,0.690662682056427,61,4.5813953488372094,0.4092570036540804,0.01639344262295082,4,0,1,0,0,0.0
30,0.3988439306358382,0.2768,0.6277052760124207,25,4.6,0.5086705202312138,0.04,2,0,1,0,0,0.0
31,0.44907407407407407,0.28402366863905326,1.5340570211410522,78,4.703030303030303,0.6064814814814815,0.01282051282051282,2,0,1,0,0,0.0
32,0.1643312101910828,0.2255099109451307,0.6323694586753845,59,5.608695652173913,0.2878980891719745,0.01694915254237288,3,1,0,0,1,1.0
33,0.33029612756264237,0.32470414201183434,0.9883921146392822,52,4.202898550724638,0.6082004555808656,0.019230769230769232,3,0,0,0,0,0.5
34,0.2727272727272727,0.2743764172335601,0.5004023909568787,21,6.6,0.0,0.047619047619047616,2,0,1,0,0,0.0
35,0.2855784469096672,0.27556991877019826,1.169566035270691,107,4.230046948356808,0.45641838351822506,0.009345794392523364,3,0,0,0,0,0.0
36,0.1643192488262911,0.20132325141776938,0.34883207082748413,46,7.777777777777778,0.18309859154929578,0.021739130434782608,3,0,1,0,0,0.0
