,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority
84,0.691389599317988,0.3610341643582641,1.3511773347854614,114,3.057492931196984,0.8297101449275363,0.008771929824561403,2,1,0
85,0.4725274725274725,0.2520775623268698,0.9164649248123169,19,3.909090909090909,0.5934065934065934,0.05263157894736842,3,0,1
86,0.4579273693534101,0.23713505566057552,0.6323818564414978,69,2.572139303482587,0.66696191319752,0.014492753623188406,3,0,0
87,0.5062761506276151,0.21270914916340333,1.2321131229400635,106,3.1266149870801034,0.6870292887029289,0.009433962264150943,4,0,1
88,0.5555555555555556,0.36,0.0,5,5.0,0.4444444444444444,0.2,3,0,0
89,0.5991332611050921,0.27453896490184415,0.9494729042053223,82,2.6909975669099757,0.728602383531961,0.012195121951219513,3,1,0
90,0.4143934997098085,0.22411550468262226,0.6541488766670227,124,2.4748700173310225,0.5423679628554846,0.008064516129032258,2,0,1
91,0.40236686390532544,0.19160997732426305,0.4960218071937561,42,3.022222222222222,0.41420118343195267,0.023809523809523808,2,0,1
92,0.43010752688172044,0.25761772853185594,0.683695375919342,38,2.909090909090909,0.489247311827957,0.02631578947368421,3,1,1
93,0.6884661117717004,0.38613406795224975,0.8714321255683899,66,2.567627494456763,0.8608799048751486,0.015151515151515152,3,1,1
94,0.3389830508474576,0.20068027210884354,0.5626347064971924,42,3.2432432432432434,0.384180790960452,0.023809523809523808,3,0,1
95,0.36,0.30864197530864196,0.0,9,9.0,0.32,0.1111111111111111,2,1,0
96,0.47368421052631576,0.2427777777777778,0.8510890007019043,60,2.778523489932886,0.5148741418764302,0.016666666666666666,3,1,1
97,0.39887352790578595,0.22580645161290322,0.6756101250648499,93,2.570957095709571,0.5422427035330261,0.010752688172043012,3,1,1
98,0.5364727608494921,0.21475312314098752,1.1163712739944458,123,2.8620689655172415,0.6762080640196984,0.008130081300813009,2,0,1
99,0.5191256830601093,0.2928,0.8488328456878662,25,3.064516129032258,0.5901639344262295,0.04,4,0,1
100,0.45901639344262296,0.21180555555555555,0.7502199411392212,48,2.909090909090909,0.4098360655737705,0.020833333333333332,3,0,0
101,0.39655172413793105,0.2013888888888889,0.7595473527908325,24,4.181818181818182,0.6293103448275862,0.041666666666666664,2,0,0
102,0.4647887323943662,0.31555555555555553,0.8486855030059814,15,3.6666666666666665,0.30985915492957744,0.06666666666666667,3,0,1
103,0.3862212943632568,0.184159938485198,0.5114636421203613,51,3.0327868852459017,0.5762004175365344,0.0196078431372549,3,0,0
104,0.3687002652519894,0.19614984391259105,0.7357795834541321,62,2.9263157894736844,0.3687002652519894,0.016129032258064516,3,1,0
105,0.4179566563467492,0.19214753123140987,0.690662682056427,41,3.13953488372093,0.5356037151702786,0.024390243902439025,1,0,1
106,0.42589437819420783,0.2538927335640138,0.6788870096206665,68,2.6178010471204187,0.46678023850085176,0.014705882352941176,3,0,1
107,0.4412171507607192,0.22253000923361035,0.723677396774292,57,2.773913043478261,0.5809128630705395,0.017543859649122806,3,1,1
108,0.3993808049535604,0.23593864134404674,0.5860421657562256,37,3.0,0.48606811145510836,0.02702702702702703,2,0,1
109,0.765466297322253,0.45106205747605166,1.222896933555603,49,2.929328621908127,0.8670360110803325,0.02040816326530612,3,1,1
110,0.45794392523364486,0.296398891966759,0.6277052760124207,19,3.2666666666666666,0.7383177570093458,0.05263157894736842,1,0,1
111,0.6923076923076923,0.26,0.5004023909568787,10,3.6,0.46153846153846156,0.1,3,0,1
112,0.5647921760391198,0.22120064899945915,0.7346366047859192,43,2.783132530120482,0.5819070904645477,0.023255813953488372,3,0,1
113,0.6396548095137866,0.37207298927089044,1.1122840642929077,113,2.790633608815427,0.7996211323931803,0.008849557522123894,3,0,0
114,0.4888888888888889,0.22727272727272727,0.8594697117805481,66,2.7657142857142856,0.6323232323232323,0.015151515151515152,3,1,1
115,0.3840304182509506,0.24150596877869604,0.6119518280029297,33,3.2580645161290325,0.24714828897338403,0.030303030303030304,2,1,0
116,0.43820224719101125,0.19503287070854639,0.6396406292915344,37,3.1621621621621623,0.44569288389513106,0.02702702702702703,3,0,1
117,0.35236938031591736,0.1889348025711662,0.6683449745178223,132,2.5607064017660046,0.43529769137302554,0.007575757575757576,3,1,1
118,0.39092872570194387,0.2095971027614305,0.6607821583747864,94,2.5949820788530467,0.3385529157667387,0.010638297872340425,3,1,0
119,0.48172757475083056,0.21986851716581446,0.6504823565483093,37,2.9591836734693877,0.2724252491694352,0.02702702702702703,3,0,0
120,0.5219244823386114,0.26309886236180097,0.8788804411888123,158,2.5601194921583272,0.6999086479902558,0.006329113924050633,3,0,0
121,0.42351046698872785,0.25864223240316536,0.6419081091880798,49,2.768421052631579,0.47020933977455714,0.02040816326530612,3,1,1
122,0.46808510638297873,0.235,0.2711893916130066,20,3.3846153846153846,0.5106382978723404,0.05,3,0,0
123,0.48120300751879697,0.2052469135802469,0.710630476474762,36,3.1219512195121952,0.3609022556390977,0.027777777777777776,3,0,1
124,0.46099290780141844,0.16765755053507728,0.7529746294021606,29,3.823529411764706,0.09929078014184398,0.034482758620689655,4,0,1
125,0.5777777777777777,0.2,0.5608192086219788,30,2.9714285714285715,0.40555555555555556,0.03333333333333333,3,0,1
126,0.46060606060606063,0.28546712802768165,0.8402859568595886,68,2.6784140969162995,0.5848484848484848,0.014705882352941176,3,1,1
127,0.5465017064846417,0.3048907388137357,0.8689848184585571,124,2.544190665342602,0.700938566552901,0.008064516129032258,4,1,0
128,0.44069640914036995,0.24697661918839023,0.9132309556007385,61,2.872340425531915,0.6104461371055495,0.01639344262295082,2,1,1
