,Unnamed: 0,Unnamed: 0.1,task_x,team_id,mellon_id,Primary code ,revise_score,high_performance,female_members,female_maj,gender,ethnicity
159,159,159,apartment,181207_166151_169077_170115,170115,SSI,1.0,1,4,1,F,Asian / Asian American
160,160,160,apartment,181207_166151_169077_170115,170115,SSI,1.0,1,4,1,F,Asian / Asian American
161,161,161,apartment,181207_166151_169077_170115,170115,SESU,1.0,1,4,1,F,Asian / Asian American
162,162,162,apartment,181207_166151_169077_170115,170115,SN,1.0,1,4,1,F,Asian / Asian American
163,163,163,apartment,181207_166151_169077_170115,170115,SESU,1.0,1,4,1,F,Asian / Asian American
164,164,164,apartment,181207_166151_169077_170115,181207,SMC,1.0,1,4,1,F,Hispanic
165,165,165,apartment,181207_166151_169077_170115,181207,SSI,1.0,1,4,1,F,Hispanic
166,166,166,apartment,181207_166151_169077_170115,181207,CRF,1.0,1,4,1,F,Hispanic
167,167,167,apartment,181207_166151_169077_170115,181207,SSI,1.0,1,4,1,F,Hispanic
168,168,168,apartment,181207_166151_169077_170115,181207,CE,1.0,1,4,1,F,Hispanic
169,169,169,apartment,181207_166151_169077_170115,181207,CE,1.0,1,4,1,F,Hispanic
170,170,170,apartment,181207_166151_169077_170115,181207,CRF,1.0,1,4,1,F,Hispanic
171,171,171,apartment,181207_166151_169077_170115,181207,CRF,1.0,1,4,1,F,Hispanic
172,172,172,apartment,181207_166151_169077_170115,181207,SSI,1.0,1,4,1,F,Hispanic
173,173,173,apartment,181207_166151_169077_170115,181207,CE,1.0,1,4,1,F,Hispanic
174,174,174,apartment,181207_166151_169077_170115,181207,SSI,1.0,1,4,1,F,Hispanic
175,175,175,apartment,181207_166151_169077_170115,181207,SSI,1.0,1,4,1,F,Hispanic
176,176,176,apartment,181207_166151_169077_170115,181207,SSI,1.0,1,4,1,F,Hispanic
177,177,177,apartment,181207_166151_169077_170115,181207,SN,1.0,1,4,1,F,Hispanic
178,178,178,apartment,181207_166151_169077_170115,181207,SN,1.0,1,4,1,F,Hispanic
179,179,179,apartment,181207_166151_169077_170115,181207,CM,1.0,1,4,1,F,Hispanic
180,180,180,apartment,181207_166151_169077_170115,181207,SSI,1.0,1,4,1,F,Hispanic
181,181,181,apartment,181207_166151_169077_170115,181207,SMC,1.0,1,4,1,F,Hispanic
182,182,182,apartment,181207_166151_169077_170115,169077,SMC,1.0,1,4,1,F,Hispanic
183,183,183,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
184,184,184,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
185,185,185,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
186,186,186,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
187,187,187,apartment,181207_166151_169077_170115,169077,SESU,1.0,1,4,1,F,Hispanic
188,188,188,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
189,189,189,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
190,190,190,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
191,191,191,apartment,181207_166151_169077_170115,169077,CE,1.0,1,4,1,F,Hispanic
192,192,192,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
193,193,193,apartment,181207_166151_169077_170115,169077,CE,1.0,1,4,1,F,Hispanic
194,194,194,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
195,195,195,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
196,196,196,apartment,181207_166151_169077_170115,169077,SN,1.0,1,4,1,F,Hispanic
197,197,197,apartment,181207_166151_169077_170115,169077,SESU,1.0,1,4,1,F,Hispanic
198,198,198,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
199,199,199,apartment,181207_166151_169077_170115,169077,SSI,1.0,1,4,1,F,Hispanic
200,200,200,apartment,181207_166151_169077_170115,169077,CM,1.0,1,4,1,F,Hispanic
201,201,201,apartment,181207_166151_169077_170115,169077,SN,1.0,1,4,1,F,Hispanic
202,202,202,apartment,181207_166151_169077_170115,169077,CE,1.0,1,4,1,F,Hispanic
203,203,203,apartment,181207_166151_169077_170115,166151,SMC,1.0,1,4,1,F,"Black, non-Hispanic"
204,204,204,apartment,181207_166151_169077_170115,166151,SSI,1.0,1,4,1,F,"Black, non-Hispanic"
205,205,205,apartment,181207_166151_169077_170115,166151,SESU,1.0,1,4,1,F,"Black, non-Hispanic"
206,206,206,apartment,181207_166151_169077_170115,166151,SSI,1.0,1,4,1,F,"Black, non-Hispanic"
207,207,207,apartment,181207_166151_169077_170115,166151,SESU,1.0,1,4,1,F,"Black, non-Hispanic"
208,208,208,apartment,181207_166151_169077_170115,166151,CRF,1.0,1,4,1,F,"Black, non-Hispanic"
209,209,209,apartment,181207_166151_169077_170115,166151,SSI,1.0,1,4,1,F,"Black, non-Hispanic"
210,210,210,apartment,181207_166151_169077_170115,166151,SSI,1.0,1,4,1,F,"Black, non-Hispanic"
211,211,211,apartment,181207_166151_169077_170115,166151,CE,1.0,1,4,1,F,"Black, non-Hispanic"
212,212,212,apartment,181207_166151_169077_170115,166151,SSI,1.0,1,4,1,F,"Black, non-Hispanic"
213,213,213,apartment,181207_166151_169077_170115,166151,SESU,1.0,1,4,1,F,"Black, non-Hispanic"
214,214,214,apartment,181207_166151_169077_170115,166151,SN,1.0,1,4,1,F,"Black, non-Hispanic"
215,215,215,apartment,181207_166151_169077_170115,166151,SSI,1.0,1,4,1,F,"Black, non-Hispanic"
216,216,216,apartment,181900_194656_181041_178642,181900,SMC,1.0,1,3,1,F,"White, non-Hispanic"
217,217,217,apartment,181900_194656_181041_178642,181900,CM,1.0,1,3,1,F,"White, non-Hispanic"
218,218,218,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
219,219,219,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
220,220,220,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
221,221,221,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
222,222,222,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
223,223,223,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
224,224,224,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
225,225,225,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
226,226,226,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
227,227,227,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
228,228,228,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
229,229,229,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
230,230,230,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
231,231,231,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
232,232,232,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
233,233,233,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
234,234,234,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
235,235,235,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
236,236,236,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
237,237,237,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
238,238,238,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
239,239,239,apartment,181900_194656_181041_178642,181900,CE,1.0,1,3,1,F,"White, non-Hispanic"
240,240,240,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
241,241,241,apartment,181900_194656_181041_178642,181900,CE,1.0,1,3,1,F,"White, non-Hispanic"
242,242,242,apartment,181900_194656_181041_178642,181900,CE,1.0,1,3,1,F,"White, non-Hispanic"
243,243,243,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
244,244,244,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
245,245,245,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
246,246,246,apartment,181900_194656_181041_178642,181900,CRF,1.0,1,3,1,F,"White, non-Hispanic"
247,247,247,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
248,248,248,apartment,181900_194656_181041_178642,181900,SESU,1.0,1,3,1,F,"White, non-Hispanic"
249,249,249,apartment,181900_194656_181041_178642,181900,SSI,1.0,1,3,1,F,"White, non-Hispanic"
250,250,250,apartment,181900_194656_181041_178642,181900,CM,1.0,1,3,1,F,"White, non-Hispanic"
251,251,251,apartment,181900_194656_181041_178642,181900,SN,1.0,1,3,1,F,"White, non-Hispanic"
252,252,252,apartment,181900_194656_181041_178642,194656,SMC,1.0,1,3,1,M,Hispanic
253,253,253,apartment,181900_194656_181041_178642,194656,SSI,1.0,1,3,1,M,Hispanic
254,254,254,apartment,181900_194656_181041_178642,194656,CE,1.0,1,3,1,M,Hispanic
255,255,255,apartment,181900_194656_181041_178642,194656,SESU,1.0,1,3,1,M,Hispanic
256,256,256,apartment,181900_194656_181041_178642,194656,SSI,1.0,1,3,1,M,Hispanic
